date,location,visitors,sales
2024-03-01,New York,304,4560
2024-03-02,Boston,270,4860
2024-03-03,Denver,160,6560
2024-03-04,Miami,161,8050
2024-03-05,New York,322,16100
2024-03-06,Boston,499,14471
2024-03-07,Houston,332,13612
2024-03-08,Denver,487,8279
2024-03-09,Seattle,125,5625
2024-03-10,Miami,495,13365
2024-03-11,Denver,410,12710
2024-03-12,Seattle,304,14592
2024-03-13,Houston,468,23400
2024-03-14,Atlanta,158,2370
2024-03-15,Seattle,377,13949
2024-03-16,Atlanta,117,4914
2024-03-17,New York,198,6138
